Name,Region,City,Age
Grace,East,San Jose,46
Diana,South,Dallas,57
Hannah,North,Houston,65
Alice,North,Phoenix,50
Hannah,South,San Jose,66
Jack,South,Chicago,60
Alice,South,San Jose,46
Hannah,West,Philadelphia,41
Jack,North,Dallas,19
Charlie,East,Phoenix,61
Bob,East,Chicago,40
Hannah,West,New York,67
Ivy,North,Houston,70
Charlie,North,San Jose,34
Bob,East,San Diego,65
Alice,South,Chicago,20
Jack,South,Houston,66
Bob,North,Chicago,64
Hannah,East,Philadelphia,41
Frank,South,Houston,64
Diana,North,San Diego,51
Bob,South,San Antonio,24
Jack,East,New York,18
Hannah,East,New York,36
Diana,South,Phoenix,33
Grace,East,San Diego,61
Grace,South,Los Angeles,57
Frank,South,Houston,60
Eve,South,San Diego,53
Jack,East,San Antonio,20
Ivy,East,San Antonio,33
Grace,West,San Jose,48
Eve,West,Chicago,68
Jack,West,Phoenix,33
Charlie,West,New York,55
Alice,South,San Diego,64
Hannah,West,New York,51
Diana,North,San Diego,31
Jack,West,San Antonio,19
Frank,West,San Antonio,58
Eve,West,Houston,52
Diana,North,New York,18
Ivy,North,New York,70
Grace,South,Chicago,20
Jack,West,San Jose,39
Frank,West,Houston,18
Eve,South,San Jose,67
Charlie,West,San Antonio,21
Jack,South,San Antonio,55
Diana,West,Houston,63
Bob,East,Dallas,44
Hannah,North,Los Angeles,20
Jack,East,New York,59
Alice,East,San Diego,52
Hannah,East,San Antonio,19
Alice,West,Los Angeles,50
Alice,West,Phoenix,52
Alice,North,San Antonio,50
Bob,South,Dallas,59
Bob,East,Dallas,19
Eve,South,San Antonio,63
Frank,East,Dallas,25
Bob,West,Phoenix,66
Jack,West,San Antonio,23
Bob,West,San Diego,50
Frank,East,Houston,68
Frank,North,San Antonio,47
Jack,North,Los Angeles,45
Ivy,West,Los Angeles,49
Hannah,West,Phoenix,69
Charlie,North,San Diego,33
Grace,South,San Jose,27
Bob,South,Los Angeles,37
Jack,North,San Diego,63
Grace,East,New York,31
